,geometry,SpeedLimit,STREETNAME,Over_pct,O5mph_pct,Speed_avg,SpeedO_avg,Spd5O_avg,element_type,highway,nodes,lanes,maxspeed,name,oneway_no,oneway_yes
17,"LINESTRING (-122.38958738016719 37.737955395830646, -122.38956115842146 37.737842639647276, -122.38977508356065 37.73723583567491, -122.38986446223718 37.73716953253406)",30,3RD ST,15.08,4.52,25.34,33.5,37.0,way,primary,"[258964502, 258964500]",2,30,3rd Street,0,1
19,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39151389560904 37.73226259244795, -122.39169230631661 37.731752624084756, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62,way,primary,"[258964513, 258964511]",2,30,3rd Street,0,1
19,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39151389560904 37.73226259244795, -122.39169230631661 37.731752624084756, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62,way,residential,"[258964511, 65300518]",nan,25,Revere Avenue,1,0
20,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39164002698361 37.73229541661345, -122.39182015573245 37.73178053586789, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62,way,residential,"[258964511, 65300518]",nan,25,Revere Avenue,1,0
19,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39151389560904 37.73226259244795, -122.39169230631661 37.731752624084756, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62,way,residential,"[65300518, 258964511]",nan,25,Revere Avenue,1,0
20,"LINESTRING (-122.39152135053084 37.732431908098924, -122.39164002698361 37.73229541661345, -122.39182015573245 37.73178053586789, -122.3917971559106 37.73164354592595)",30,3RD ST,19.9,3.88,25.98,33.1,37.62,way,residential,"[65300518, 258964511]",nan,25,Revere Avenue,1,0
21,"LINESTRING (-122.39492615227621 37.723972563815195, -122.39492330467891 37.723829988747326, -122.39515648833425 37.72331688863376, -122.39526464711122 37.723222334586296)",30,3RD ST,41.0,9.0,28.48,33.34,38.11,way,primary,"[258964132, 65300282]",2,30,3rd Street,0,1
21,"LINESTRING (-122.39492615227621 37.723972563815195, -122.39492330467891 37.723829988747326, -122.39515648833425 37.72331688863376, -122.39526464711122 37.723222334586296)",30,3RD ST,41.0,9.0,28.48,33.34,38.11,way,residential,"[65300282, 65300657]",nan,25,Egbert Avenue,0,1
22,"LINESTRING (-122.39492615227621 37.723972563815195, -122.39506372833699 37.723870061198205, -122.39529652484808 37.72336049882411, -122.39526464711122 37.723222334586296)",30,3RD ST,41.0,9.0,28.48,33.34,38.11,way,residential,"[65300282, 65300657]",nan,25,Egbert Avenue,0,1
23,"LINESTRING (-122.40561526669445 37.778505104812936, -122.40506850926839 37.7780689813613)",25,6TH ST,68.0,23.5,26.75,29.17,33.28,way,residential,"[65353927, 65293764]",nan,25,Shipley Street,0,1
24,"LINESTRING (-122.40506850926839 37.7780689813613, -122.40460550598151 37.77769965946562)",25,6TH ST,68.0,23.5,26.75,29.17,33.28,way,residential,"[65293766, 65325050]",nan,25,Clara Street,0,1
25,"LINESTRING (-122.40460550598151 37.77769965946562, -122.4040702566009 37.777272702035084)",25,6TH ST,68.0,23.5,26.75,29.17,33.28,way,secondary,"[65303678, 65293768]",5,25,Harrison Street,0,1
26,"LINESTRING (-122.40426687250145 37.78447874487484, -122.403711753445 37.784044438029106)",25,4TH ST,57.0,9.0,25.1,27.79,32.0,way,secondary,"[65351772, 6925582021]",nan,25,Mission Street,1,0
26,"LINESTRING (-122.40426687250145 37.78447874487484, -122.403711753445 37.784044438029106)",25,4TH ST,57.0,9.0,25.1,27.79,32.0,way,secondary,"[6925582021, 65351772]",nan,25,Mission Street,1,0
27,"LINESTRING (-122.403711753445 37.784044438029106, -122.40270815395242 37.78325923628577)",25,4TH ST,57.0,9.0,25.1,27.79,32.0,way,secondary,"[65351772, 65306804]","['4', '3', '5']",40,4th Street,0,1
28,"LINESTRING (-122.39961623244395 37.78079148306888, -122.39907963433104 37.78036288754962)",25,4TH ST,69.0,32.0,27.35,30.12,33.72,way,unclassified,"[65335256, 9680491479]",1,25,Perry Street,0,1
29,"LINESTRING (-122.39907963433104 37.78036288754962, -122.39859952108503 37.779979400500466)",25,4TH ST,69.0,32.0,27.35,30.12,33.72,way,motorway,"[65281944, 1260360822]",3,50,James Lick Freeway,0,1
29,"LINESTRING (-122.39907963433104 37.78036288754962, -122.39859952108503 37.779979400500466)",25,4TH ST,69.0,32.0,27.35,30.12,33.72,way,motorway,"[65281061, 65371963]",3,50,James Lick Freeway,0,1
30,"LINESTRING (-122.39859952108503 37.779979400500466, -122.39805994016146 37.77956691079729)",25,4TH ST,42.0,16.0,29.1,34.26,37.94,way,secondary,"[65284950, 6329528602]",5,25,Bryant Street,0,1
30,"LINESTRING (-122.39859952108503 37.779979400500466, -122.39805994016146 37.77956691079729)",25,4TH ST,42.0,16.0,29.1,34.26,37.94,way,motorway_link,"[65281097, 65371963]","['2', '3', '1']",50,nan,0,1
33,"LINESTRING (-122.39706171615023 37.778751053428685, -122.3965306381063 37.778326831424806)",25,4TH ST,74.0,35.0,27.7,29.77,32.86,way,secondary,"[6329528588, 65315477]",4,25,Brannan Street,1,0
33,"LINESTRING (-122.39706171615023 37.778751053428685, -122.3965306381063 37.778326831424806)",25,4TH ST,74.0,35.0,27.7,29.77,32.86,way,secondary,"[65315477, 6329528588]",4,25,Brannan Street,1,0
